"Country","Trade_Balance","Trade_Balance_mean","income_Balance","income_Balance_mean","transport_Balance","transport_Balance_mean"
"Afghanistan, Islamic Rep. of",-37779763147,-6296627191.16667,-58904411.094465,-9817401.8490775,-4922091958.84,-820348659.806667
"Albania",-12329880787,-2054980131.16667,-1805879904.67,-300979984.111667,68920139.2,11486689.8666667
"Algeria",-124091207043,-20681867840.5,-28472194695.37,-4745365782.56167,-16438709208.7,-2739784868.11667
"Angola",40693871570,6782311928.33333,-24039922104,-4006653684,-18615964920.98,-3102660820.16333
"Anguilla",-621780799.66,-103630133.276667,-120088697.62761,-20014782.937935,-65463941.986,-10910656.9976667
"Antigua and Barbuda",70656112,11776018.6666667,-345036031.5989,-57506005.2664833,140773441.61,23462240.2683333
"Argentina",-9971751043,-1661958507.16667,-39633665804.6,-6605610967.43333,-13754052385,-2292342064.16667
"Armenia, Rep. of",-8256723532,-1376120588.66667,-797449885.4645,-132908314.244083,-1432728265.2,-238788044.2
"Aruba, Kingdom of the Netherlands",1314027624,219004604,-586917377.63,-97819562.9383333,-30321475.5299999,-5053579.25499998
"Australia",8.2599e+10,13766500000,-112922566415,-18820427735.8333,-43632553490,-7272092248.33333
"Austria",8.3025e+10,13837500000,8251523126,1375253854.33333,-3306194376,-551032396
"Azerbaijan, Rep. of",18738298160,3123049693.33333,-10164943000,-1694157166.66667,302874160,50479026.6666667
"Bangladesh",-97736449205,-16289408200.8333,-10741249069.62,-1790208178.27,-30061583124.7,-5010263854.11667
"Belarus, Rep. of",2697400000,449566666.666667,-10361300000,-1726883333.33333,11366500000,1894416666.66667
"Belgium",2.802e+10,4.67e+09,-5849317588,-974886264.666667,-7354218070,-1225703011.66667
"Belize",-740946814.2,-123491135.7,-462078693.953,-77013115.6588333,-233645179.97,-38940863.3283333
"Benin",-3964774172,-660795695.333333,-170720771,-28453461.8333333,-1891030530.4,-315171755.066667
"Bermuda",-3754386786,-625731131,-45643397.49,-7607232.915,-1182612361.73,-197102060.288333
"Bhutan",-2927125661.4,-487854276.9,-7802988.5743,-1300498.09571667,-67242183.62,-11207030.6033333
"Bolivia",-10980444469,-1830074078.16667,-4122197315.4028,-687032885.900467,-2268774605.1,-378129100.85
"Bosnia and Herzegovina",-17422933052,-2903822175.33333,-3047007110.5076,-507834518.417933,1086187801.9,181031300.316667
"Botswana",-3125531731,-520921955.166667,-5405128150.4898,-900854691.7483,-1239076432.63,-206512738.771667
"Brazil",-4.816e+09,-802666666.666667,-167986829502,-27997804917,-50229121558,-8371520259.66667
"Bulgaria",10711180000,1785196666.66667,-19515890000,-3252648333.33333,2576260000,429376666.666667
"Burkina Faso",-3345862945,-557643824.166667,-2609646824.3,-434941137.383333,-3234114809.26,-539019134.876667
"Cabo Verde",-2146886282.2,-357814380.366667,-134992318.1158,-22498719.6859667,15956736.98,2659456.16333334
"Cambodia",-17588298803,-2931383133.83333,-8566143076.631,-1427690512.77183,-5207366001.7,-867894333.616667
"Cameroon",-6169078882,-1028179813.66667,-2854243017.287,-475707169.547833,-1944992818,-324165469.666667
"Canada",-2.07164e+11,-34527333333.3333,105404755291,17567459215.1667,-54165339195,-9027556532.5
"Chile",2799291023,466548503.833333,-60249459390.4,-10041576565.0667,-9079310626,-1513218437.66667
"China, P.R.: Hong Kong",2.9716e+10,4952666666.66667,-9.3356e+10,-15559333333.3333,73432265231,12238710871.8333
"China, P.R.: Macao",114945305469,19157550911.5,-36597578229.48,-6099596371.58,664226176.2,110704362.7
"Colombia",-79026125330,-13171020888.3333,-18012598435,-3002099739.16667,-5954164281,-992360713.5
"Congo, Dem. Rep. of the",-9974972227,-1662495371.16667,-2696865846.2,-449477641.033333,-5795714496.43,-965952416.071667
"Costa Rica",6898288171,1149714695.16667,-14651612831.3,-2441935471.88333,-2978436708.9,-496406118.15
"Côte d'Ivoire",4617599407,769599901.166667,-5999705345.74,-999950890.956667,-8168721248.3,-1361453541.38333
"Croatia, Rep. of",-3512622238,-585437039.666667,-7742885906.2,-1290480984.36667,3225615131.9,537602521.983333
"Curaçao and Sint Maarten",-4443660943,-740610157.166667,-250977506.53,-41829584.4216667,-112772400.63,-18795400.105
"Curaçao, Kingdom of the Netherlands",-3729065504,-621510917.333333,-239959343.221,-39993223.8701667,-143016895.56,-23836149.26
"Cyprus",1092175837,182029306.166667,581963097,96993849.5,8344808930,1390801488.33333
"Czech Rep.",8.9121e+10,14853500000,-83944207475,-13990701245.8333,7047691943,1174615323.83333
"Denmark",1.35759e+11,22626500000,47067807393,7844634565.5,52503763161,8750627193.5
"Djibouti",1271361055,211893509.166667,NA,NA,308801984.6,51466997.4333333
"Dominica",-906868539.16,-151144756.526667,-24248857.457523,-4041476.2429205,-193943181.1106,-32323863.5184333
"Dominican Rep.",-21258200000,-3543033333.33333,-1.5564e+10,-2.594e+09,-6109300000,-1018216666.66667
"Eastern Caribbean Currency Union",-2438276702,-406379450.333333,-1739797596.653,-289966266.108833,-1249760788.13,-208293464.688333
"Ecuador",-628159732,-104693288.666667,-2612879701.9,-435479950.316667,-5109555050.7,-851592508.45
"Egypt, Arab Rep. of",-174913379000,-29152229833.3333,-32474600000,-5412433333.33333,4616590000,769431666.666667
"El Salvador",-25462838060,-4243806343.33333,-5053129103.1167,-842188183.852783,-1208786091.9,-201464348.65
"Estonia, Rep. of",4918345241,819724206.833333,-7001112388.9,-1166852064.81667,2623546207,437257701.166667
"Eswatini, Kingdom of",143402392,23900398.6666667,-2084316431.43,-347386071.905,-172193483.8221,-28698913.97035
"Euro Area",2.62712e+12,437853333333.333,5.74088e+11,95681333333.3333,7.3852e+10,12308666666.6667
"Fiji, Rep. of",-2371426320,-395237720,-2176111240.8,-362685206.8,213959376.1,35659896.0166667
"Finland",-6907055233,-1151175872.16667,18833461320,3138910220,-12316895655,-2052815942.5
"France",-1.49806e+11,-24967666666.6667,284628211746,47438035291,-25681318965,-4280219827.5
"Gambia, The",-1776961576,-296160262.666667,-68372168.95,-11395361.4916667,-271448741.831,-45241456.9718333
"Georgia",-13172037191,-2195339531.83333,-5054868311.7,-842478051.95,-829800390.7,-138300065.116667
"Germany",1.47534e+12,2.4589e+11,428300432845,71383405474.1667,-20998921737,-3499820289.5
"Ghana",-13553019786,-2258836631,NA,NA,-9188763417.4,-1531460569.56667
"Greece",-23269912686,-3878318781,-2738709150.9,-456451525.15,33111979200,5518663200
"Grenada",-333243040.8,-55540506.8,-374593246.41456,-62432207.73576,-274039325.703,-45673220.9505
"Guatemala",-41015236210,-6835872701.66667,-7330880030,-1221813338.33333,-5779742110,-963290351.666667
"Guinea",-800606309,-133434384.833333,NA,NA,-3020344229.2,-503390704.866667
"Guinea-Bissau",-650244649.8,-108374108.3,-115961826.8563,-19326971.1427167,-276185233.59711,-46030872.266185
"Guyana",-7133069419,-1188844903.16667,NA,NA,-1471903874.673,-245317312.4455
"Honduras",-23233086332,-3872181055.33333,-7072918282.762,-1178819713.79367,-5443946061,-907324343.5
"Hungary",44730075655,7455012609.16667,-43967074421,-7327845736.83333,10540423455,1756737242.5
"Iceland",5538817086,923136181,2588746928.09,431457821.348333,5815598011.8,969266335.3
"India",-3.64753e+11,-60792166666.6667,-92501016725,-15416836120.8333,-2378176946,-396362824.333333
"Indonesia",3.2721e+10,5453500000,-106453272266.22,-17742212044.37,-39952926684,-6658821114
"Iraq",63659381778,10609896963,-9430800000,-1571800000,-28226400000,-4704400000
"Ireland",4.48739e+11,74789833333.3333,-405308763727,-67551460621.1667,24704812809,4117468801.5
"Israel",52286500000,8714416666.66667,1.618e+09,269666666.666667,-17463900000,-2910650000
"Italy",3.62061e+11,60343500000,43975230390,7329205065,-60286918697,-10047819782.8333
"Jamaica",-13524452697,-2254075449.5,-1207784986.395,-201297497.7325,-3672196642.8,-612032773.8
"Japan",3.9996e+10,6.666e+09,525806255890,87634375981.6667,-42401835314,-7066972552.33333
"Jordan",-47279436621,-7879906103.5,NA,NA,-7878450703.1,-1313075117.18333
"Kazakhstan, Rep. of",61094300252,10182383375.3333,-89803558879.1,-14967259813.1833,9667500819,1611250136.5
"Kenya",-47499742693,-7916623782.16667,-3642390162.87,-607065027.145,2945670886.8,490945147.8
"Kiribati",-906982922.95,-151163820.491667,-16342880.97238,-2723813.49539667,-179472164.69599,-29912027.4493317
"Korea, Rep. of",4.8125e+11,80208333333.3333,4889200000,814866666.666667,-5241300000,-873550000
"Kosovo, Rep. of",-12357612144,-2059602024,-655611705.0839,-109268617.513983,-582821481.78,-97136913.63
"Kuwait",45789426653,7631571108.83333,33031337240.5,5505222873.41667,-20234557299.1,-3372426216.51667
"Kyrgyz Rep.",-14568822295,-2428137049.16667,-1808663400,-301443900,-1389923028,-231653838
"Lao People's Dem. Rep.",-5760126019,-960021003.166667,-842877354.84,-140479559.14,-7319589.11000001,-1219931.51833334
"Latvia",-666071970,-111011995,-7442745962.1,-1240457660.35,7495172865,1249195477.5
"Lebanon",-69655082563,-11609180427.1667,1834553578.2,305758929.7,-5440162600.4,-906693766.733333
"Lesotho, Kingdom of",-6739865516.7,-1123310919.45,NA,NA,-326082840.6497,-54347140.1082833
"Lithuania",10185291058,1697548509.66667,-10738108496,-1789684749.33333,16961474195,2826912365.83333
"Luxembourg",152019472963,25336578827.1667,1.4199e+11,2.3665e+10,52721367,8786894.5
"Madagascar, Rep. of",-3021733215,-503622202.5,-2486002673,-414333778.833333,-1333290229.9,-222215038.316667
"Malawi",-9782377836,-1630396306,-827295472.37175,-137882578.728625,-255555209.22,-42592534.87
"Malaysia",1.3785e+11,2.2975e+10,-45259634758,-7543272459.66667,-38497417245,-6416236207.5
"Maldives",-1385068801,-230844800.166667,-1857342381.6,-309557063.6,-717621765.78,-119603627.63
"Mali",-11760807136,-1960134522.66667,-2897235948.874,-482872658.145667,-4563285899.518,-760547649.919667
"Malta",12936243402,2156040567,-63652740461.66,-10608790076.9433,1654977242,275829540.333333
"Marshall Islands, Rep. of the",-446880612.28,-74480102.0466667,-89412913.2232,-14902152.2038667,-114121898.614,-19020316.4356667
"Mauritius",-10387630142,-1731271690.33333,2702080528,450346754.666667,-1294388510.7,-215731418.45
"Mexico",-8.5302e+10,-1.4217e+10,-96111802675,-16018633779.1667,-52112331975,-8685388662.5
"Moldova, Rep. of",-14684623923,-2447437320.5,-1303180000,-217196666.666667,99750000,16625000
"Mongolia",-1167789081,-194631513.5,-3714391826.3727,-619065304.39545,-1800037251.8,-300006208.633333
"Montenegro",-7010069466,-1168344911,-383451932.176,-63908655.3626667,365192072.4,60865345.4
"Montserrat",-183696896.2,-30616149.3666667,-1495757.54203,-249292.923671667,-14428107.917,-2404684.65283333
"Morocco",-60212296759,-10035382793.1667,-7067471674,-1177911945.66667,-3471080644,-578513440.666667
"Mozambique, Rep. of",-26236605466,-4372767577.66667,-481305278.155,-80217546.3591667,-764443427.2,-127407237.866667
"Namibia",-10866943937,-1811157322.83333,-1584091335.848,-264015222.641333,-173234020.81,-28872336.8016667
"Nepal",-54753534913,-9125589152.16667,NA,NA,-2723263323.12,-453877220.52
"Netherlands, The",5.04643e+11,84107166666.6667,1.22925e+11,20487500000,63555148137,10592524689.5
"New Zealand",7780814978,1296802496.33333,-33082213512.2,-5513702252.03333,-5323274726,-887212454.333333
"Nicaragua",-8572500000,-1428750000,NA,NA,-2205100000,-367516666.666667
"Niger",-10563334246,-1760555707.66667,-797250996.078,-132875166.013,-3536047351.57,-589341225.261667
"Nigeria",-100269634915,-16711605819.1667,-50251053045.1,-8375175507.51667,-26639845697,-4439974282.83333
"North Macedonia, Republic of",-9850427095,-1641737849.16667,-2730013698.43,-455002283.071667,329781930.4,54963655.0666667
"Norway",6.9596e+10,11599333333.3333,-10811549837,-1801924972.83333,38482193930,6413698988.33333
"Oman",27721098849,4620183141.5,NA,NA,-14160620769,-2360103461.5
"Pakistan",-169780308000,-28296718000,-1.8948e+10,-3.158e+09,-15734308000,-2622384666.66667
"Panama",1031782090,171963681.666667,-14870855021.8,-2478475836.96667,25281180787,4213530131.16667
"Papua New Guinea",24214175594,4035695932.33333,-2906987555.7065,-484497925.951083,-2015857647.473,-335976274.578833
"Paraguay",7761981335,1293663555.83333,-4510332624,-751722104,-1180031539.7,-196671923.283333
"Peru",7860115158,1310019193,-42111381191.3,-7018563531.88333,-8569665718.9,-1428277619.81667
"Philippines",-173427571669,-28904595278.1667,-18854155897.5,-3142359316.25,-14354773386,-2392462231
"Poland, Rep. of",1.07237e+11,17872833333.3333,-1.21493e+11,-20248833333.3333,4.8493e+10,8082166666.66667
"Portugal",9337761803,1556293633.83333,-19243401923,-3207233653.83333,18454507419,3075751236.5
"Romania",-38009851122,-6334975187,-39930054212.48,-6655009035.41333,26766613746,4461102291
"Russian Federation",6.31694e+11,105282333333.333,-165272920000,-27545486666.6667,31261810000,5210301666.66667
"Rwanda",-8625207746,-1437534624.33333,-534817502.285,-89136250.3808333,-1730625418.16,-288437569.693333
"Samoa",-923444049,-153907341.5,-113353538.4956,-18892256.4159333,-131291154.508,-21881859.0846667
"São Tomé and Príncipe, Dem. Rep. of",-612056118.23,-102009353.038333,-1141296.042255,-190216.0070425,-130171560.06784,-21695260.0113067
"Saudi Arabia",1.84381e+11,30730166666.6667,1196166133,199361022.166667,-77708086176,-12951347696
"Senegal",-18835246314,-3139207719,-1570834253,-261805708.833333,-4030009125.9,-671668187.65
"Serbia, Rep. of",-23766577419,-3961096236.5,-11092320585.6,-1848720097.6,-254704724,-42450787.3333333
"Seychelles",-274795004,-45799167.3333333,-55584852.6989,-9264142.11648334,-43191344.7,-7198557.45000001
"Sierra Leone",-5599085168.4,-933180861.4,NA,NA,-774365268.831,-129060878.1385
"Sint Maarten, Kingdom of the Netherlands",-748455317.5,-124742552.916667,-11018163.2973,-1836360.54955,30212691.16,5035448.52666666
"Slovak Rep.",7811323849,1301887308.16667,-24182385692.2,-4030397615.36667,2713985820,452330970
"Slovenia, Rep. of",25851043078,4308507179.66667,-6438698107.23,-1073116351.205,7530586378.4,1255097729.73333
"Solomon Islands",-607939524.8,-101323254.133333,-279812793.037,-46635465.5061667,-132967493.11,-22161248.8516667
"South Africa",20371067941,3395177990.16667,-17973685403,-2995614233.83333,-21542147401,-3590357900.16667
"Spain",2.315e+11,38583333333.3333,49823595029,8303932504.83333,30468484510,5078080751.66667
"Sri Lanka",-35287229142,-5881204857,-4783744809.87,-797290801.645,3304184218,550697369.666667
"St. Kitts and Nevis",-207993415,-34665569.1666666,-352893258.41647,-58815543.0694117,-204409299.184,-34068216.5306667
"St. Lucia",362645869.200001,60440978.2000001,-554462357.626,-92410392.9376667,-452046550.341,-75341091.7235
"St. Vincent and the Grenadines",-823575753.9,-137262625.65,13166033.35055,2194338.89175833,-228054440.003,-38009073.3338333
"Sudan",-26846628158,-4474438026.33333,-1333893720.71198,-222315620.118663,-3013724644.3,-502287440.716666
"Suriname",70481887,11746981.1666667,-1136799787.2754,-189466631.212567,-289850982.55,-48308497.0916667
"Sweden",1.13076e+11,1.8846e+10,49207390587,8201231764.5,-7131570197,-1188595032.83333
"Switzerland",3.66397e+11,61066166666.6667,31309690065,5218281677.5,10229592674,1704932112.33333
"Tajikistan, Rep. of",-12153394644,-2025565774,-920481363.72,-153413560.62,-1010022802.8,-168337133.8
"Tanzania, United Rep. of",-11283061805,-1880510300.83333,NA,NA,2476251624.7,412708604.116667
"Thailand",2.7651e+11,4.6085e+10,-76564078979.142,-12760679829.857,-66811498973,-11135249828.8333
"Timor-Leste, Dem. Rep. of",-5955495839.02,-992582639.836667,-227929778.5,-37988296.4166667,-382788954.115,-63798159.0191667
"Togo",-4131408869,-688568144.833333,7821568.89999998,1303594.81666666,-444307138.7,-74051189.7833333
"Tonga",-1193094669.36,-198849111.56,-49221147.18352,-8203524.53058667,-88225348.78,-14704224.7966667
"Trinidad and Tobago",6813903649,1135650608.16667,-2481267242.296,-413544540.382667,-2159226114.2,-359871019.033333
"Tunisia",-27884334087,-4647389014.5,-4675106122.58,-779184353.763333,-2357088296.7,-392848049.45
"Türkiye, Rep. of",-8.0678e+10,-13446333333.3333,-1.5026e+10,-2504333333.33333,7.8176e+10,13029333333.3333
"Tuvalu",-313178727.688,-52196454.6146667,0,0,-46534654.044,-7755775.674
"Uganda",-17490562492,-2915093748.66667,-2417842671.2244,-402973778.5374,-6867326040.7,-1144554340.11667
"Ukraine",-4.3826e+10,-7304333333.33333,-2.0032e+10,-3338666666.66667,2.122e+10,3536666666.66667
"United States",-3.27804e+12,-5.4634e+11,1.9377e+12,3.2295e+11,-9.7071e+10,-16178500000
"Uruguay",18207651699,3034608616.5,-14540403351.3,-2423400558.55,-3319241828.4,-553206971.4
"Uzbekistan, Rep. of",-37783520402,-6297253400.33333,-5526209999.089,-921034999.848167,-4720808438.3,-786801406.383333
"Vanuatu",-1003776240.5,-167296040.083333,-142968175.517,-23828029.2528333,-308154006.91,-51359001.1516667
"West Bank and Gaza",-35640877609,-5940146268.16667,-554094653.158,-92349108.8596667,-1840889393.33,-306814898.888333
"Zambia",715323119,119220519.833333,NA,NA,-4452019082.76,-742003180.46
"Zimbabwe",-9782924158,-1630487359.66667,-869163727.83,-144860621.305,-1200416250.66,-200069375.11
